Anno;Cod_Azienda;Specie_Vegetale;PLT;PLV;PRA;PTA;Provincia;Regione;SAU;Biologica;SAU_Irrigata;KW_Macchine;avg_year;min_avg_year;max_avg_year;min_min_year;min_max_year;max_min_year;max_max_year;tot_prec_year;Tipo_Certificazione;max_irrigate;Produzione;Sum_Spesa_Distribuita;CAPITALE_FISSO;CAPITALE_CIRCOLANTE;PATRIMONIO_NETTO;CAPITALE_NETTO_TOTALE;LIQUIDITA_IMMEDIATE;UTILE_PERDITA_ESERCIZIO;Sum_Quantit�_azoto;Sum_Quantit�_fosforo;Sum_Quantit�_potassio;Sum_Valore_del_distribuito;lavoro_dipendente_ore_uomo;lavoro_dipendente_ore_macchina;lavoro_dipendente_ul;lavoro_famigliare_ore_uomo;lavoro_famigliare_ore_macchina
2019;2302008004966000001;Melo;800;800;0;0;Sondrio;Lombardia;3,4;N;0;73;4,430825437;-0,182305541;8,777974798;-23,3919042;15,20930047;-10,23813644;29,09251172;1772,642177;;0;40;50;18048;17436;34656;225607;17326;6405;34,29;34,29;34,29;40;0;0;0;2360;0
2019;2302008004973000001;Melo;37500;37500;0;0;Sondrio;Lombardia;5,47;N;0;282;4,341924018;-0,271940583;8,68401462;-25,26828321;15,73414333;-12,27824397;29,21572801;1617,474488;;0;1250;7431;47626;62734;110360;575414;57490;-14032;2223,92;2223,92;2223,92;4832;0;0;0;2800;0
2019;2302017003500000001;Melo;15992;15992;0;0;Sondrio;Lombardia;3,32;N;0;100;4,778929347;0,136314945;9,138100071;-25,09105411;16,0936873;-12,04217438;29,71601641;1603,92958;;0;530;1620;61194;15151;76345;80199;14781;-3854;740,38;740,38;740,38;1112;0;0;0;1208;0
2019;2302017003501000001;Melo;22237;22237;0;0;Sondrio;Lombardia;2,31;N;0;66;4,401048032;-0,131490631;8,691041546;-23,11146212;15,10980491;-10,25109054;28,89610164;1792,953697;;0;463;2920;55363;5687;61050;62103;5277;-1053;640;640;640;960;0;0;0;2200;0
2019;2302017003502000001;Melo;51156;51156;0;0;Sondrio;Lombardia;9,73;N;0;139;4,402034906;-0,149138562;8,700658111;-23,38816956;15,19203197;-10,57292557;28,98101956;1729,609989;;0;1705;10974;35584;53761;89345;130552;53410;12021;2163,11;2163,11;2163,11;3254;0;0;0;2200;0
2019;2302017003503000001;Melo;54423;54423;0;0;Sondrio;Lombardia;4,09;N;0;60;4,816768245;0,169609786;9,178942857;-25,06908429;16,12300884;-12,00016055;29,7629136;1604,274485;;0;2366;5724;38599;111664;150263;168018;111504;38562;660;660;660;2090;0;0;0;2200;0
2019;2302017003504000001;Melo;29354;29354;0;0;Sondrio;Lombardia;3,08;N;0;49;4,444414561;-0,067111364;8,722283447;-22,85621395;15,09045068;-10,01074434;28,86292024;1804,527961;;0;1400;3450;0;49135;49135;39899;48745;21236;420;420;420;560;0;0;0;2200;0
2019;2302018003326000001;Melo;6163;6163;0;0;Sondrio;Lombardia;2,92;N;2,92;172;4,4014892;-0,140929839;8,696045607;-23,25967698;15,15343445;-10,42326672;28,94126063;1739,887798;;1;594;4289;31282;22140;53422;66870;3240;-11448;158,32;2,11;10,23;940;400;0;0,22;1600;0
2019;2302018003327000001;Melo;16153;16153;0;0;Sondrio;Lombardia;3,85;N;2,81;178;4,392864066;-0,138612407;8,682857353;-23,080213;15,09118046;-10,20475337;28,87903292;1797,027593;;1;661;8773;184319;1911;72569;109048;0;-36479;59,66;18;248,5;959;2524;24;1,4;2160;0
2019;2302018003331000001;Melo;21084;21084;0;0;Sondrio;Lombardia;3,68;N;3,19;129;4,402369759;-0,139739442;8,696727467;-23,25687404;15,15361476;-10,42110338;28,94121221;1739,97277;;1;1635,5;4118;81016;35392;108012;134880;0;-26868;190;190;190;570;878;78;0,48;1280;0
2019;2302018003505000001;Melo;8680;8680;0;0;Sondrio;Lombardia;1,58;N;0;133;4,425103236;-0,172793011;8,757706684;-25,40650365;15,87038944;-12,59005381;29,27418525;1589,07994;;0;434;2106;12464;3966;16430;19243;3776;-2813;230,05;230,05;230,05;395;0;0;0;2200;0
2019;2302018003506000001;Melo;7112;7112;0;0;Sondrio;Lombardia;1,54;N;0;89;4,393158218;-0,200722736;8,72271623;-25,42116588;15,83218471;-12,60779884;29,23254374;1580,698918;;0;355;2215;1906;5382;7288;9274;5198;-1986;541,33;541,33;541,33;817;0;0;0;2200;0
2019;2302018003507000001;Melo;45014;45014;0;0;Sondrio;Lombardia;5,92;N;0;91;4,401576015;-0,151439065;8,701092476;-23,41382081;15,19913788;-10,60211827;28,98847566;1727,667578;;0;2250;9919;19143;67031;82839;49464;60185;43375;1701,02;1701,02;1701,02;3705;0;0;0;3000;0
